
|||2020-03-31 16:50:09,612 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3129.35","bid":"-0.00000001","code":"BTC_USDT_ICNCDE_ENCRY","id":"5273","makerOrderId":1012177413621334016,"price":"3129.35","takerOrderId":1012177416414740480,"timestamp":"1585644606971","type":"B","virtual":0,"volume":"0.3"}
|||2020-03-31 16:50:09,613 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3259.73","bid":"-0.00000001","code":"BTC_USDT_ICNCDE_ENCRY","id":"5274","makerOrderId":1012177408831438848,"price":"3259.73","takerOrderId":1012177416414740480,"timestamp":"1585644606971","type":"B","virtual":0,"volume":"0.1"}
|||2020-03-31 16:50:09,614 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3362.47","bid":"-0.00000001","code":"BTC_USDT_ICNCDE_ENCRY","id":"5281","makerOrderId":1012176396829769728,"price":"3362.47","takerOrderId":1012177416926445568,"timestamp":"1585644607086","type":"B","virtual":0,"volume":"0.3"}
|||2020-03-31 16:50:09,614 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3366.48","bid":"-0.00000001","code":"BTC_USDT_ICNCDE_ENCRY","id":"5282","makerOrderId":1012177389994819584,"price":"3366.48","takerOrderId":1012177416926445568,"timestamp":"1585644607086","type":"B","virtual":0,"volume":"0.4"}
|||2020-03-31 16:50:09,615 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3143.3","bid":"-0.00000001","code":"BTC_USDT_ICNCDE_ENCRY","id":"5289","makerOrderId":1012177420764233728,"price":"3143.3","takerOrderId":1012177420965560320,"timestamp":"1585644608049","type":"B","virtual":0,"volume":"0.6"}
|||2020-03-31 16:50:09,615 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3143.3","bid":"-0.00000001","code":"BTC_USDT_ICNCDE_ENCRY","id":"5290","makerOrderId":1012177420764233728,"price":"3143.3","takerOrderId":1012177421108166656,"timestamp":"1585644608085","type":"B","virtual":0,"volume":"1.1"}
|||2020-03-31 16:50:09,616 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3122.85","bid":"-0.00000001","code":"BTC_USDT_ICNCDE_ENCRY","id":"5296","makerOrderId":1012177422882357248,"price":"3122.85","takerOrderId":1012177425239556096,"timestamp":"1585644609068","type":"B","virtual":0,"volume":"0.8"}
|||2020-03-31 16:50:09,616 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3243.1","bid":"3242.5","code":"BTC_USDT_ICNCDE_ENCRY","id":"5299","makerOrderId":1012177425415716864,"price":"3242.5","takerOrderId":1012177425512185856,"timestamp":"1585644609141","type":"S","virtual":0,"volume":"0.9"}
|||2020-03-31 16:50:09,617 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3292.45","bid":"3242.5","code":"BTC_USDT_ICNCDE_ENCRY","id":"5304","makerOrderId":1012177426590121985,"price":"3292.45","takerOrderId":1012177426590121984,"timestamp":"1585644609392","type":"B","virtual":0,"volume":"0.5"}
|||2020-03-31 16:50:09,705 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3292.45","bid":"3242.5","code":"BTC_USDT_ICNCDE_ENCRY","id":"5306","makerOrderId":1012177425415716864,"price":"3242.5","takerOrderId":1012177427324125184,"timestamp":"1585644609563","type":"S","virtual":0,"volume":"0.1"}
|||2020-03-31 16:50:10,368 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3219.15","bid":"-0.00000001","code":"BTC_USDT_ICNCDE_ENCRY","id":"5307","makerOrderId":1012177427324125184,"price":"3219.15","takerOrderId":1012177429886844928,"timestamp":"1585644610200","type":"B","virtual":0,"volume":"0.2"}
|||2020-03-31 16:50:10,369 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3219.15","bid":"-0.00000001","code":"BTC_USDT_ICNCDE_ENCRY","id":"5308","makerOrderId":1012177427324125184,"price":"3219.15","takerOrderId":1012177429882650625,"timestamp":"1585644610221","type":"B","virtual":0,"volume":"0.8"}
|||2020-03-31 16:50:10,393 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3243.4","bid":"-0.00000001","code":"BTC_USDT_ICNCDE_ENCRY","id":"5310","makerOrderId":1012177429970731008,"price":"3243.4","takerOrderId":1012177429920399360,"timestamp":"1585644610230","type":"B","virtual":0,"volume":"0.4"}
|||2020-03-31 16:50:10,399 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3219.15","bid":"-0.00000001","code":"BTC_USDT_ICNCDE_ENCRY","id":"5309","makerOrderId":1012177427324125184,"price":"3219.15","takerOrderId":1012177429920399360,"timestamp":"1585644610230","type":"B","virtual":0,"volume":"0.1"}
|||2020-03-31 16:50:10,419 | ConsumeMessageThread_1 | INFO  | c.i.m.c.s.impl.KlineServiceImpl | KlineServiceImpl.java  78||【成交】---> code:BTC_USDT_ICNCDE_ENCRY, trade:{"ask":"3292.45","bid":"-0.00000001","code":"BTC_USDT_ICNCDE_ENCRY","id":"5311","makerOrderId":1012177426590121985,"price":"3292.45","takerOrderId":1012177429920399360,"timestamp":"1585644610230","type":"B","virtual":0,"volume":"0.1"}
